Titel,Autor,ISBN,Erscheinungsjahr,Auflage,Zustand,Verlag,Preis,Bestand,Status,Leihfrist
"Tür der Himmel, ['Fantasy & Science-Fiction']",Janna Lehmann,978-0-89063-623-7,25011884,6,"['Sehr gut', 'Unvollständig', 'Abgenutzt', 'Verloren', 'Neu', 'Gut', 'Sehr gut', 'Gut']",MM Verlag,35.85,8,"['rot', 'rot', 'vorgemerkt', 'grün', 'verliehen', 'verliehen', 'verfügbar', 'verfügbar']",14
"Wenig der Arbeiten, ['Belletristik']",Joachim Gieß,978-1-239-37747-7,02061924,1,"['Sehr gut', 'Sehr gut', 'Gut', 'In Ordnung', 'Neu', 'Neu']",Carlsen Verlag,37.88,6,"['verliehen', 'verfügbar', 'grün', 'verfügbar', 'verfügbar', 'rot']",14
"Draußen der Uns, ['Kinder- und Jugendbücher', 'Kinder- und Jugendbücher']","Dussen van, Carolin",978-1-243-57371-1,26031895,8,"['Neu', 'In Ordnung', 'In Ordnung', 'Gut', 'Abgenutzt']",Verlag Gerhard Rautenberg,16.42,5,"['verfügbar', 'verfügbar', 'rot', 'verliehen', 'rot']",14
"Bringen der Geburtstag, ['Kinder- und Jugendbücher']",Pascale Stiffel,0-604-02526-2,28021913,2,"['Gut', 'Sehr gut', 'Gut']",Redline Verlag,26.29,7,"['verfügbar', 'rot', 'rot', 'verfügbar', 'grün', 'rot', 'rot']",14
"Bis der Wahr, ['Wissenschaft', 'Wissenschaft']","Gehringer, Swen",978-1-378-47090-9,25031974,6,"['In Reparatur', 'Verloren', 'Sehr gut', 'Gut', 'Unvollständig', 'Neu']",SingLiesel Verlag,41.03,6,"['grün', 'verfügbar']",28
"Führen der Gewinnen, ['Kinder- und Jugendbücher', 'Belletristik']",Marius Röhricht,978-0-15-169201-9,18121899,6,"['Neu', 'In Ordnung']",Verlag Moderne Industrie,51.79,3,"['verliehen', 'rot']",14
"Glas der Neun, ['Belletristik', 'Naturwissenschaften']",Hinrich Franke,978-0-05-836462-0,02041881,2,"['In Ordnung', 'In Ordnung', 'Sehr gut', 'Abgenutzt', 'Sehr gut', 'Sehr gut', 'Beschädigt']",Campus Verlag,32.89,7,"['verfügbar', 'rot', 'grün', 'rot', 'rot']",28
"Frei der Lesen, ['Religion & Spiritualität']",Hinrich Käster,978-1-64226-957-4,02081910,3,"['In Reparatur', 'Ausgemustert', 'In Ordnung', 'In Ordnung']",Silberschnur Verlag,23.56,4,"['grün', 'rot', 'verliehen', 'verliehen']",21
"Zwischen der Schwer, ['Geschichte']",Gottlob Schlosser,978-1-00-175301-0,25111953,8,"['Gut', 'Neu', 'Sehr gut', 'Ausgemustert', 'In Ordnung', 'Sehr gut', 'Neu', 'Unvollständig']",Carlsen Verlag,5400,8,"['verfügbar', 'verfügbar', '???', 'verfügbar', 'rot', 'vorgemerkt', 'verfügbar', 'vorgemerkt']",28
"Führen der Mutter, ['Wissenschaft']",Gotthard Lachmann,978-0-581-34377-2,02081894,2,"['Neu', 'In Ordnung', 'Unvollständig', 'Beschädigt', 'Verloren', 'Sehr gut', 'Unvollständig', 'Neu', 'Neu']",GOLDMANN VERLAG,34.67,9,"['verliehen', 'verfügbar', 'verfügbar', 'rot', 'verfügbar', 'verfügbar', 'rot', 'verliehen', 'verfügbar']",28
"Früh der Beißen, ['Belletristik', 'Wissenschaft']",Valentin Gieß,0-491-41773-X,26081955,3,"['Neu', 'Gut', 'In Ordnung', 'In Reparatur']",Hans Gerig Musikverlage,3280,9,"['rot', 'verfügbar', 'verfügbar', 'grün', 'grün', 'verfügbar', 'verfügbar', 'verfügbar', 'rot']",28
"Als der Schön, ['Religion & Spiritualität']",Arthur Lachmann,978-0-435-04814-3,08061940,70,"['Neu', 'In Ordnung']",O'Reilly Media,15.45,2,"['rot', 'verfügbar']",21
"Schwimmen der Fehlen, ['Fantasy & Science-Fiction']",Reinhilde Henk,978-0-04-708017-3,12051932,3,['Unvollständig'],Beltz & Gelberg,35.29,1,[],14
"An der Halbe, ['Psychologie']",Jeannine Linke,978-0-649-37841-8,28011936,2,"['Sehr gut', 'Sehr gut', 'Neu', 'Gut', 'Beschädigt', 'Gut', 'In Ordnung', 'Neu', 'Sehr gut']",Rowohlt Verlag,14.56,9,"['verfügbar', 'rot', 'verfügbar', 'rot', 'verfügbar', 'grün', 'rot', 'vorgemerkt', 'rot']",21
"Beim der Milch, ['Sachbücher']",Silvia Bauer,978-0-19-148214-4,17091989,6,"['Gut', 'Gut', 'Sehr gut', 'Gut', 'In Ordnung', 'Neu', 'Neu']",Verlagsgruppe Weltbild,21.08,7,"['ausgeliehen', 'verfügbar', 'verfügbar', 'gelb', 'gelb', 'verfügbar', 'verliehen']",21
"Erzählen der Lustig, ['Sprachen']",Eleonora Schmidt,978-1-77980-621-5,28071992,9,['Abgenutzt'],DIEDERICHS VERLAG,39.03,1,['vorgemerkt'],21
"Dann der Schwimmen, ['Technik', 'Belletristik']",Patrizia Gieß,978-0-567-17718-6,1978-12-07,3,"['Gut', 'Abgenutzt', 'Abgenutzt', 'In Ordnung', 'Sehr gut', 'Neu', 'Verloren', 'Beschädigt', 'Sehr gut']",Verlagsgruppe Herder,40.4,9,"['verfügbar', 'rot', 'verfügbar', 'grün', 'verliehen', 'rot', 'vorgemerkt', 'grün', 'rot']",7
"Gleich der Weiß, ['Kinder- und Jugendbücher']",Czeslaw Bolzmann,978-0-07-399937-1,16041993,4,[],Springer Fachmedien,39.1,1,['gelb'],999
"Schaffen der Das, ['Psychologie']",Eckehard Kraushaar,978-0-00-695489-7,07101880,3,"['Verloren', 'Beschädigt', 'Neu', 'In Ordnung', 'Neu', 'Neu', 'Ausgemustert', 'Neu']",Oldenbourg Verlag,34.0,8,"['verfügbar', 'vorgemerkt', 'verfügbar', 'rot', 'grün', 'verloren', 'grün', 'verliehen']",21
"Beim der Gern, ['Kinder- und Jugendbücher', 'Belletristik']",Samuel Rudolph,978-1-942209-46-1,05021972,4,"['Gut', 'Sehr gut', 'Beschädigt', 'Sehr gut', 'Sehr gut', 'Gut', 'Ausgemustert']",dtv Verlagsgesellschaft,21.29,7,"['verfügbar', 'grün', 'verfügbar', 'verfügbar', 'verfügbar', 'grün', 'verliehen']",14
"Schüler der Merken, ['Sachbücher', 'Sport']",Cindy Rogner,978-1-873421-95-6,07111980,3,"['In Ordnung', 'Sehr gut', 'Gut']",Silberschnur Verlag,44.77,3,"['rot', 'rot', 'grün']",14
"Können der Bald, ['Biografien']",Eleonora Textor,978-0-85304-091-0,25062022,1,['Neu'],REDLINE VERLAG,23.29,1,['grün'],21
"Vorbei der Bild, ['Kinder- und Jugendbücher']",Hans-Hermann Krause,978-0-7754-0718-1,30061980,9,"['In Ordnung', 'Abgenutzt', 'Gut', 'Unvollständig', 'Gut']",Verlag C.H. Beck,3180,5,"['verfügbar', 'rot', 'verliehen', 'verloren', 'verfügbar']",14
"Freude der Lehrer, ['Kochen & Ernährung']",Janna Röhricht,978-1-5375-9898-7,1982-07-18,2,"['Sehr gut', 'Sehr gut', 'Neu', 'Gut', 'Neu', 'Sehr gut', 'Sehr gut']",Verlagsgruppe Random House,31.36,7,"['verliehen', 'gelb', 'verfügbar', 'ausgeliehen', 'verfügbar', 'gelb', 'grün']",10
"Wenn der Geburtstag, ['Sachbücher', 'Geschichte']","Budig, Mathilde",978-1-935034-84-1,05031994,6,"['Neu', 'Sehr gut', 'Unvollständig']",Heyne Verlag,52.74,3,"['verfügbar', 'rot', 'verfügbar']",28
"Wissen der Verlieren, ['Reiseliteratur']",Hans-Hermann Gehringer,978-1-4659-0098-2,12101917,9,"['Neu', 'Gut', 'Unvollständig', 'Gut']",Eulenspiegel Verlagsgruppe,24.86,4,"['grün', 'verliehen', 'verliehen']",10
"Dunkel der Mich, ['Fantasy & Science-Fiction']",Hans-Hermann Bolander,978-0-384-71266-9,01081998,9,['Abgenutzt'],WEKA-Verlagsgruppe,40.86,1,['verfügbar'],14
"Schuh der Rufen, ['Geschichte']",Jennifer Killer,978-0-6480310-7-9,1995-06-28,7,"['Abgenutzt', 'Neu', 'In Ordnung', 'Unvollständig']",Ullstein Buchverlage,14.82,6,"['rot', 'grün', 'rot', 'verfügbar', '???', 'verliehen']",28
"Jahr der Schnee, ['Reiseliteratur']","Hering, Dajana",978-1-05-662513-3,19610919,8,"['Unvollständig', 'Gut', 'Neu', 'Gut', 'In Ordnung']",Hubert Burda Media,31.44,5,"['verfügbar', 'verfügbar', 'vorgemerkt', 'rot', 'rot']",10
"Maus der Wichtig, ['Sprachen']",Janna Gutknecht,978-0-337-49041-5,15011941,6,[],Verlagsgruppe Hüthig Jehle Rehm,19.53,0,[],21
"Zeigen der Halbe, ['Sachbücher']",Hans-Jürgen Wirth,978-0-410-71681-4,28111957,3,"['Sehr gut', 'Neu', 'Neu', 'Gut', 'In Ordnung', 'Unvollständig', 'Ausgemustert', 'Beschädigt']",SINGLIESEL VERLAG,33.18,8,"['verfügbar', 'grün', 'grün', 'verliehen', 'grün']",21
"Schiff der Dich, ['Belletristik']","Gnatz, Hannes",978-1-63922-574-3,28061880,3,"['Beschädigt', 'Neu', 'Abgenutzt', 'Unvollständig', 'Gut', 'Gut', 'In Reparatur']",Verlagsgruppe Weltbild,32.67,7,"['verfügbar', 'grün', 'verfügbar', 'rot']",14
"Dem der Dunkel, ['Philosophie']",Reinhilde Peukert,978-0-02-595981-1,2003-09-30,8,"['Beschädigt', 'In Ordnung', 'Gut', 'Gut', 'Beschädigt']",Gräfe und Unzer Verlag,32.23,5,"['ausgeliehen', 'rot', 'grün', 'grün', 'rot']",999
"Rennen der Ja, ['Fantasy & Science-Fiction']",Jenny Spieß,0-514-14001-1,13091915,2,"['In Reparatur', 'Ausgemustert', 'Neu', 'Sehr gut', 'Sehr gut', 'Gut', 'Beschädigt', 'Unvollständig', 'In Ordnung']",Hubert Burda Media,44.11,9,"['verliehen', 'rot', 'verfügbar', 'verloren', 'grün', 'rot', 'grün', 'gelb', 'ausgeliehen']",14
"Einmal der Verlieren, ['Kinder- und Jugendbücher']",Vesna Hein,978-0-00-744423-6,11021982,6,"['Sehr gut', 'Unvollständig', 'Gut', 'Abgenutzt', 'Neu']",Südwestdeutsche Medien Holding,20.07,5,['verfügbar'],14
"Was der Zusammen, ['Belletristik']",Kazim Stiebitz,978-1-4391-9718-9,27041946,7,"['Sehr gut', 'Neu', 'In Ordnung', 'Neu', 'Unvollständig', 'Neu']",Verlagsgruppe Weltbild,30.58,6,['rot'],14
"Schlafen der Dich, ['Reiseliteratur']",Cindy Wirth,978-0-675-52955-6,29081984,9,"['Gut', 'In Ordnung', 'Verloren']",Verlagsgruppe Handelsblatt,36.91,3,"['verfügbar', 'verfügbar', 'rot']",
"Natürlich der Spiel, ['Kinder- und Jugendbücher']",Mirko Scholtz,978-0-88172-426-4,16021888,3,['Gut'],Münchener Verlagsgruppe,4118,2,"['gelb', 'grün']",14
"Wo der Hängen, ['Fantasy & Science-Fiction']",Hinrich Reuter,978-0-9745147-3-4,26122010,8,"['Sehr gut', 'In Ordnung', 'Sehr gut', 'In Ordnung', 'In Ordnung', 'Verloren', 'Beschädigt', 'Unvollständig']",Verlagsgruppe Herder,32.47,8,"['rot', 'verfügbar', 'vorgemerkt', 'verliehen', 'verfügbar', 'verfügbar', 'verliehen', 'verfügbar']",14
"Halbe der Ohne, ['Belletristik']",Erika Henk,978-0-19-747125-8,07031963,5,"['Sehr gut', 'Neu', 'Abgenutzt', 'In Ordnung']",Verlagsgruppe Husum,26.37,4,"['gelb', 'grün', 'verliehen', 'verliehen']",14
"Flasche der Steigen, ['Technik']",Sigrid Kabus,978-1-70252-091-1,13082014,80,"['Gut', 'Ausgemustert', 'In Ordnung', 'Sehr gut', 'Unvollständig', 'Sehr gut', 'Abgenutzt']",Piper Verlag,21.42,8,"['rot', 'verliehen', 'grün', 'rot', 'grün', 'rot', 'gelb', 'grün']",28
"Stehen der Offen, ['Wissenschaft']",Valentin Junitz,978-1-303-13329-9,22101945,2,"['Neu', 'Abgenutzt', 'Gut', 'Neu', 'Ausgemustert', 'Neu', 'Abgenutzt', 'In Reparatur']",Medien Union,1864,8,"['verliehen', 'verfügbar', '???', 'verfügbar', 'vorgemerkt', 'grün', 'rot', 'verfügbar']",28
"Offen der Stück, ['Philosophie']",Andre Hein,978-0-89774-609-0,07091976,4,"['Beschädigt', 'Gut', 'In Reparatur']",Verlagsgruppe Handelsblatt,47.43,3,['verfügbar'],
"Traurig der Böse, ['Krimis & Thriller']",Vesna Bolander,978-0-7722-3441-4,17122000,5,"['Beschädigt', 'Ausgemustert', 'Gut', 'Sehr gut', 'Beschädigt', 'Abgenutzt', 'Abgenutzt']",Droemer Knaur,27.65,7,"['rot', 'verfügbar', 'rot', 'verliehen', 'rot', 'verfügbar', 'gelb']",14
"Arbeiten der Können, ['Belletristik']",Andrey Atzler,978-1-74044-149-0,05071921,3,"['Neu', 'Neu', 'Abgenutzt', 'Gut', 'Neu', 'Abgenutzt', 'In Ordnung']",Springer Fachmedien,46.89,7,"['verfügbar', 'rot']",14
"Heiß der Unser, ['Belletristik']",Jessika Noack,978-0-683-67018-9,12041989,3,"['Sehr gut', 'Unvollständig', 'Neu', 'In Reparatur', 'Gut', 'Sehr gut']",dtv Verlagsgesellschaft,19.15,7,"['verfügbar', 'verliehen']",14
"Bleiben der Wohl, ['Kinder- und Jugendbücher']",Stjepan Wirth,978-0-498-80987-3,17071915,4,"['Sehr gut', 'Abgenutzt']",Verlagsgruppe Herder,34.52,6,"['verfügbar', 'verfügbar', 'vorgemerkt', 'rot', 'verfügbar', 'verliehen']",14
"Auto der Stelle, ['Belletristik']",Joachim Krause,978-1-369-22221-0,28112021,9,"['Abgenutzt', 'Neu', 'In Reparatur', 'Gut', 'Neu', 'Abgenutzt', 'Neu']",Nomos Verlagsgesellschaft,1739,7,"['verliehen', 'verfügbar', 'vorgemerkt', 'rot', 'verfügbar', 'ausgeliehen', 'rot']",14
"Flasche der Loch, ['Kinder- und Jugendbücher']",Samuel Gorlitz,978-0-14-000737-4,03071980,6,[],dtv Verlagsgesellschaft,36.46,1,['rot'],999
"Holen der Turnen, ['Kinder- und Jugendbücher']",Anni Schomber,1-277-84554-9,17021900,9,"['Neu', 'Neu', 'Abgenutzt']",Redline Verlag,33.63,3,"['grün', 'rot', 'verfügbar']",14
"Ihm der Wort, ['Wissenschaft', 'Religion & Spiritualität']",Mathilde Bolander,978-0-19-997637-9,28061945,9,"['Sehr gut', 'Neu', 'In Ordnung', 'In Ordnung', 'In Ordnung', 'Sehr gut', 'Gut', 'Abgenutzt', 'Gut']",WEKA-Verlagsgruppe,34.93,9,"['verfügbar', 'rot', 'verliehen', 'rot', 'verfügbar', 'verliehen', 'verfügbar', 'verfügbar', 'verliehen']",21
"Seit der Lernen, ['Belletristik']",Gottlob Stiebitz,978-1-80187-802-9,04121986,9,"['Gut', 'In Ordnung', 'In Ordnung', 'Beschädigt', 'In Reparatur']",Fischer Verlage,23.92,5,"['rot', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar']",14
"Fährt der Dauern, ['Belletristik', 'Geschichte']",Joachim Gehringer,978-1-09-328291-7,30051901,7,['Gut'],Reinhold Kühn Verlag,46.11,3,"['rot', 'grün', 'grün']",28
"Musik der Maus, ['Geschichte']",Annegrete Peukert,978-1-69965-267-1,02071979,3,"['Unvollständig', 'In Reparatur']",Beltz & Gelberg,28.82,2,['verfügbar'],28
"Auf der Vorbei, ['Philosophie']",Anni Kraushaar,978-0-658-39113-2,21031979,1,"['Beschädigt', 'Beschädigt', 'Neu', 'Abgenutzt', 'In Ordnung', 'Neu', 'In Ordnung', 'Gut']",Rowohlt Verlag,35.23,8,"['vorgemerkt', 'verfügbar', 'rot', 'verfügbar', 'rot', '???', 'verliehen', 'rot']",28
"Schicken der Über, ['Kinder- und Jugendbücher']",Peter Atzler,978-1-878522-27-6,03112017,3,"['Unvollständig', 'Sehr gut', 'In Ordnung', 'Abgenutzt']",Thomas Kettler Verlag,34.08,4,['rot'],14
"Also der Tragen, ['Kunst und Kultur']",Marius Finke,978-0-441-86199-6,06112019,6,"['Sehr gut', 'Beschädigt', 'Abgenutzt', 'Verloren', 'Abgenutzt', 'Abgenutzt']",Kiepenheuer & Witsch,26.03,6,"['verliehen', 'grün', 'verfügbar', 'verfügbar', 'rot', 'verfügbar']",999
"Lange der Nur, ['Belletristik']",Marieluise Lachmann,978-0-328-67195-3,07051954,2,"['Beschädigt', 'Abgenutzt', 'Abgenutzt', 'In Ordnung', 'Gut', 'In Ordnung', 'Gut', 'In Ordnung']",Springer Fachmedien,35.23,8,"['verliehen', 'rot', 'verfügbar', 'verliehen', 'verfügbar', 'verliehen', 'rot', 'verfügbar']",14
"Platz der Zwei, ['Sachbücher']",Marieluise Wesack,978-1-173-78500-0,23032021,5,"['Neu', 'Sehr gut', 'Gut', 'In Ordnung', 'Beschädigt']",Ernst Klett Verlag,15.96,5,"['rot', 'verliehen', 'rot', 'verliehen', 'verliehen']",21
"Essen der Bein, ['Sachbücher']",Dietlinde Wirth,978-0-7037-6490-4,14091980,9,"['Neu', 'Sehr gut', 'In Ordnung', 'Gut']",CORNELSEN VERLAG,30.31,9,"['grün', 'verliehen', 'rot', 'rot', 'verliehen', 'verfügbar', 'grün', 'verfügbar', 'gelb']",7
"Fisch der Nach, ['Belletristik', 'Sachbücher']",Wanda Pölitz,978-0-07-951777-7,10011954,7,"['Gut', 'Sehr gut', 'In Ordnung']",Südwestdeutsche Medien Holding,29.54,6,"['grün', 'verfügbar', 'grün', 'ausgeliehen', 'verfügbar', 'grün']",14 Tage
"Gewinnen der Ihm, ['Wissenschaft']",Anna-Maria Killer,978-1-875189-60-1,09071881,20,['Neu'],Oldenbourg Verlag,48.95,1,['vorgemerkt'],28
"Oma der Den, ['Religion & Spiritualität', 'Geschichte']",Andre Gehringer,978-0-417-94494-4,09021973,7,"['Sehr gut', 'Abgenutzt', 'Gut']",Südwestdeutsche Medien Holding,44.18,3,"['verliehen', 'verfügbar', 'verfügbar']",28
"Hand der Als, ['Kunst und Kultur']",Jessika Scholtz,978-1-274-99094-5,18102005,10,"['Neu', 'Neu', 'Gut', 'Beschädigt', 'Sehr gut', 'In Ordnung', 'In Reparatur', 'In Ordnung']",Beltz & Gelberg,17.91,8,"['rot', 'rot', 'rot', 'verfügbar', 'grün', 'verfügbar', 'rot', 'gelb']",21
"Fisch der Neben, ['Kinder- und Jugendbücher']",Adalbert Trub,978-0-08-708599-2,05041886,1,"['Gut', 'Verloren', 'Beschädigt']",Verlagsgruppe Husum,26.13,3,"['grün', 'verliehen', 'vorgemerkt']",unbekannt
"Was der Fragen, ['Philosophie']",Hans-Christian Dietz,978-0-85127-682-3,25031964,5,"['Neu', 'Abgenutzt', 'Neu', 'Neu', 'Sehr gut', 'Sehr gut', 'Neu']",dtv Verlagsgesellschaft,27.69,7,"['verfügbar', 'verliehen', 'rot', 'verliehen', 'grün', 'rot', 'ausgeliehen']",28
"An der Sollen, ['Sachbücher']","Gehringer, Eckehard",978-1-152-36474-5,13032020,6,['Neu'],Suhrkamp Verlag,29.32,1,['gelb'],21
"Mama der Eltern, ['Reiseliteratur']",Reinhilde Junitz,978-1-873435-68-7,04111930,9,"['Sehr gut', 'In Ordnung', 'Gut', 'Abgenutzt', 'Beschädigt', 'Gut']",Thienemann-Esslinger,40.89,6,"['grün', 'verfügbar', 'rot', 'rot', 'verliehen', 'verliehen']",10
"Geben der Weg, ['Reiseliteratur']",Hannes Gieß,978-1-71712-594-1,18111891,6,['In Ordnung'],Reinhold Kühn Verlag,53.7,1,['verfügbar'],10
"Nacht der Sie, ['Psychologie']",Anni Gehringer,978-0-446-61040-7,06051937,5,"['Abgenutzt', 'In Ordnung', 'Sehr gut']",Haufe Mediengruppe,42.73,3,"['rot', 'ausgeliehen', 'grün']",21
"Weit der Was, ['Psychologie']",Milan Käster,978-1-314-20814-6,26101914,7,"['Neu', 'Abgenutzt']",Verlagsgruppe Herder,55.14,2,"['verliehen', 'verfügbar']",21
"Gab der Mögen, ['Sachbücher']",Cindy Kroker,978-1-313-18276-8,1967-10-25,3,"['Ausgemustert', 'Beschädigt', 'In Reparatur', 'Abgenutzt', 'Sehr gut', 'In Ordnung', 'Abgenutzt']",Piper Verlag,28.35,7,['verliehen'],21
"Dabei der Lachen, ['Sachbücher']",Vesna Kabus,978-1-124-31523-2,21121890,2,['Abgenutzt'],Verlagsgruppe Ippen,30.8,1,['verfügbar'],21
"Nächste der Sonntag, ['Sport']",Jenny Jacobi Jäckel,978-0-7460-1887-3,14031932,60,['Neu'],Heyne Verlag,46.17,1,[],14
"Halten der Etwas, ['Philosophie']",Silvia Mies,978-1-66215-086-9,1996-01-26,7,['Neu'],VERLAGSHAUS RÖMERWEG,19.29,1,['verfügbar'],28
"Berg der Seite, ['Belletristik']",Eckehard Kraushaar,978-1-5250-1410-9,10042014,6,[],SingLiesel Verlag,16.45,0,[],
"Hängen der Setzen, ['Technik']",Hannes Atzler,978-1-229-97258-3,22081969,3,"['Sehr gut', 'In Reparatur', 'In Ordnung', 'Neu', 'In Reparatur', 'Sehr gut', 'Abgenutzt']",dtv Verlagsgesellschaft,37.46,7,"['rot', 'rot', 'verloren', 'rot', 'gelb', 'verfügbar', 'rot']",28
"Bein der Glauben, ['Kinder- und Jugendbücher']",Samuel Bolzmann,978-0-618-96461-1,1955-11-03,2,[],dtv Verlagsgesellschaft,36.36,0,[],14
"Ihr der Nächste, ['Kinder- und Jugendbücher']",Philipp Lindau,978-1-927901-31-1,31121962,2,[],Silberschnur Verlag,46.28,0,[],14
"Weit der Jeder, ['Belletristik']",Birgitt Zobel,978-0-7026-2197-0,03041942,6,"['In Reparatur', 'In Ordnung', 'Gut', 'Sehr gut', 'Neu']",Beltz & Gelberg,43.93,5,"['verliehen', 'verfügbar', 'verliehen', 'vorgemerkt', 'verfügbar']",999
"Fünf der Müssen, ['Psychologie']",Hans-Hermann Pärtzelt,978-0-06-320160-6,14051991,1,['Neu'],Goldmann Verlag,20.55,1,['verfügbar'],21
"Scheinen der Dunkel, ['Technik']",Jeannine Reuter,978-1-04-942415-6,06061902,2,[],Piper Verlag,18.33,0,[],28
"Dein der Heraus, ['Religion & Spiritualität', 'Belletristik']","Trub, Aloisia",978-1-931721-29-5,15011904,9,"['Beschädigt', 'In Ordnung', 'Gut']",Bonnier Verlagsgruppe,2593,3,"['rot', 'verfügbar', 'gelb']",14
"Ob der Mögen, ['Technik']",Dino Ehlert,978-0-18-039687-2,15021964,1,"['Neu', 'Sehr gut', 'Neu', 'Neu', 'Beschädigt', 'Ausgemustert', 'Abgenutzt']",Campus Verlag,29.02,7,"['verliehen', 'grün', 'rot', 'verliehen', 'verfügbar', 'gelb', 'grün']",28
"Krank der Ging, ['Reiseliteratur', 'Belletristik']",Gotthard Lehmann,978-0-8083-1276-5,27031914,5,"['Neu', 'In Ordnung', 'Neu', 'In Ordnung', 'Ausgemustert', 'Neu', 'Sehr gut', 'Neu']",Redline Verlag,30.87,8,['rot'],14
"Vielleicht der Geschichte, ['Kinder- und Jugendbücher']",Hannes Scholtz,978-0-9742478-9-2,07112005,3,"['Unvollständig', 'Verloren', 'Unvollständig', 'In Reparatur', 'Sehr gut', 'Neu', 'Beschädigt', 'Unvollständig', 'Gut']",Verlagshaus Römerweg,38.23,9,"['rot', 'rot', 'rot', 'gelb', 'verliehen', 'rot', 'rot', 'verliehen', 'verliehen']",14
"Wasser der Fragen, ['Krimis & Thriller']",Vesna Gnatz,978-0-366-69203-3,03011921,50,['Sehr gut'],Springer Fachmedien,35.65,1,['verfügbar'],14
"Groß der Sieben, ['Fantasy & Science-Fiction']",Alice Bauer,978-1-958578-32-2,28011997,9,"['In Reparatur', 'In Ordnung', 'Neu', 'Abgenutzt', 'Beschädigt', 'Ausgemustert']",Suhrkamp Verlag,45.28,6,"['ausgeliehen', 'verliehen']",14
"Ihm der Dunkel, ['Belletristik', 'Wissenschaft']",Joachim Gehringer,978-1-59100-249-9,07081924,4,"['Sehr gut', 'Ausgemustert', 'Gut', 'Sehr gut', 'Neu', 'Gut', 'Neu', 'Abgenutzt']",Eulenspiegel Verlagsgruppe,15.78,8,"['verfügbar', 'verliehen', 'verliehen', 'verfügbar', 'rot', 'vorgemerkt']",28
"Nass der Böse, ['Sachbücher']",Jessika Gehringer,978-0-7994-0153-0,22111955,7,"['Unvollständig', 'Beschädigt', 'Unvollständig', 'Abgenutzt', 'In Reparatur']",Haufe Mediengruppe,21.41,6,"['rot', 'vorgemerkt', 'verfügbar', 'rot', 'grün', 'vorgemerkt']",21
"Tisch der Oben, ['Sachbücher']",Jeannine Gieß,978-1-61003-835-5,18031920,3,"['Sehr gut', 'Abgenutzt', 'Neu', 'Gut', 'Abgenutzt', 'Sehr gut', 'Neu', 'Beschädigt']",O'Reilly Media,29.42,8,"['grün', 'rot', 'grün', 'verfügbar', 'verfügbar', 'verliehen']",21
"Sache der Freuen, ['Technik', 'Sport']",Nadeschda Karz,978-0-7722-9856-0,23021930,4,"['Neu', 'In Ordnung', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Verloren']",Goldmann Verlag,18.24,7,"['verliehen', 'verfügbar', 'grün', 'grün', 'grün', 'grün', 'verfügbar']",7
"Besser der Gott, ['Kunst und Kultur', 'Kinder- und Jugendbücher']","Hövel, Jenny",978-0-682-87101-3,17041900,9,"['Sehr gut', 'In Reparatur', 'Unvollständig', 'In Ordnung', 'Verloren', 'Abgenutzt']",Cornelsen Verlag,24.96,6,"['rot', 'verfügbar', 'verfügbar', 'grün', 'verfügbar', 'verliehen']",14
"Monate der Zeitung, ['Kinder- und Jugendbücher', 'Belletristik']",Annegrete Franke,978-0-01-590939-0,09082018,4,"['Beschädigt', 'Sehr gut', 'Neu']",Piper Verlag,30.88,3,"['verliehen', 'verloren', 'gelb']",14
"Zeit der Ist, ['Sachbücher']",Ahmad Conradi,978-1-188-56148-4,18101932,1,"['Sehr gut', 'Beschädigt', 'Sehr gut', 'Neu']",Verlag J. Neumann,13.33,4,[],21
"Fertig der Zur, ['Technik']",Pascale Kraushaar,978-0-925648-40-2,1988-12-27,7,"['Sehr gut', 'In Reparatur', 'Sehr gut', 'In Ordnung', 'Sehr gut', 'Unvollständig', 'Abgenutzt']",Verlag C.H. Beck,24.61,7,"['rot', 'rot']",28
"Dumm der Oder, ['Psychologie', 'Reiseliteratur']","Wirth, Heinz-Günter",978-0-397-02628-9,23121983,6,"['Neu', 'Gut']",Verlag Gerhard Rautenberg,20.17,2,"['vorgemerkt', 'gelb']",10
"Freude der Baden, ['Fantasy & Science-Fiction']",Helene Schmidt,0-7597-5293-1,12012011,6,"['Unvollständig', 'Neu', 'Unvollständig']",Silberschnur Verlag,2646,3,"['vorgemerkt', 'verfügbar']",14
"Boden der Schnell, ['Gesundheit']",Kathleen Noack,978-0-595-14913-1,08081945,8,"['Unvollständig', 'Abgenutzt']",Verlagsgruppe Georg von Holtzbrinck,38.13,2,"['rot', 'verfügbar']",21
"Von der Langsam, ['Belletristik']",Alice Bolander,978-0-04-005323-5,12011927,3,[],Bastei Lübbe,24.62,0,[],14
"Gern der Weiter, ['Philosophie']",Erika Haase,0-675-41232-3,1911-12-22,1,"['Beschädigt', 'Abgenutzt', 'Abgenutzt']",Medien Union,22.83,3,"['rot', 'gelb', 'rot']",28
"Schiff der Hilfe, ['Reiseliteratur', 'Belletristik']",Adalbert Gieß,978-1-81394-855-0,06092020,3,"['Neu', 'Gut', 'In Ordnung', 'Gut']",Verlagshaus Römerweg,38.19,4,"['verfügbar', '???', 'gelb', 'verfügbar']",14
